ID,CrimeCode,Description,Weapon,Incidents
1,4E,I,HANDS,1
2,4B,O,KNIFE,1
3,9S,O,FIREARM,1
4,3AF,O,FIREARM,1
5,6C,I,OTHER,1
6,4C,O,OTHER,1
7,4C,O,OTHER,1
8,4E,I,HANDS,1
9,5D,I,OTHER,1
10,4E,I,HANDS,1
11,3AF,O,FIREARM,1
12,6G,I,OTHER,1
13,4E,I,HANDS,1
14,9S,O,FIREARM,1
15,9S,O,FIREARM,1
16,4E,O,HANDS,1
17,4C,O,OTHER,1
18,5A,I,OTHER,1
19,6H,O,OTHER,1
20,4E,O,HANDS,1
21,4E,I,HANDS,1
22,4F,O,OTHER,1
23,5A,I,OTHER,1
24,6D,O,OTHER,1
25,4C,I,OTHER,1
26,6G,I,OTHER,1
27,4F,I,OTHER,1
28,5A,I,OTHER,1
29,6D,O,OTHER,1
30,6G,I,OTHER,1
31,4E,I,HANDS,1
32,5A,I,OTHER,1
33,4E,I,HANDS,1
34,4E,I,HANDS,1
35,4E,I,HANDS,1
36,3GO,I,OTHER,1
37,5C,I,OTHER,1
38,5B,I,OTHER,1
39,4E,I,HANDS,1
40,5C,I,OTHER,1
41,5A,I,OTHER,1
42,5A,I,OTHER,1
43,4C,I,OTHER,1
44,5A,I,OTHER,1
45,5A,I,OTHER,1
46,6C,I,OTHER,1
47,4A,O,FIREARM,1
48,6G,I,OTHER,1
49,6E,O,OTHER,1
50,7A,O,OTHER,1
51,6D,I,OTHER,1
52,6D,I,OTHER,1
53,4E,I,HANDS,1
54,6G,O,OTHER,1
55,4E,O,HANDS,1
56,5B,I,OTHER,1
57,7A,O,OTHER,1
58,4E,I,HANDS,1
59,4E,I,HANDS,1
60,4C,O,OTHER,1
61,3B,O,OTHER,1
62,4E,O,HANDS,1
63,4E,O,HANDS,1
64,4E,I,HANDS,1
65,6B,O,OTHER,1
66,4E,O,HANDS,1
67,6E,O,OTHER,1
68,3AF,O,FIREARM,1
69,6B,O,OTHER,1
70,4E,I,HANDS,1
71,4E,I,HANDS,1
72,4E,I,HANDS,1
73,4C,I,OTHER,1
74,6G,I,OTHER,1
75,4C,O,OTHER,1
76,4C,O,OTHER,1
77,6C,I,OTHER,1
78,4A,O,FIREARM,1
79,3D,I,OTHER,1
80,4A,O,FIREARM,1
81,5A,I,OTHER,1
82,4E,I,HANDS,1
83,6D,O,OTHER,1
84,3B,O,OTHER,1
85,4C,O,OTHER,1
86,7A,O,OTHER,1
87,3AF,O,FIREARM,1
88,4E,I,HANDS,1
89,5B,I,OTHER,1
90,6J,O,OTHER,1
91,4E,I,HANDS,1
92,4E,I,HANDS,1
93,3CK,I,KNIFE,1
94,6D,O,OTHER,1
95,5A,I,OTHER,1
96,5B,I,OTHER,1
97,6D,O,OTHER,1
98,5A,I,OTHER,1
99,6G,I,OTHER,1
100,5B,I,OTHER,1
101,4F,I,OTHER,1
102,4F,O,OTHER,1
103,6J,I,OTHER,1
104,5A,I,OTHER,1
105,5A,I,OTHER,1
106,7A,O,OTHER,1
107,7A,O,OTHER,1
108,4E,O,HANDS,1
109,6J,I,OTHER,1
110,4C,O,OTHER,1
111,4E,O,HANDS,1
112,4E,O,HANDS,1
113,6E,O,OTHER,1
114,6D,O,OTHER,1
115,6C,I,OTHER,1
116,6C,I,OTHER,1
117,7A,O,OTHER,1
118,7A,O,OTHER,1
119,5C,I,OTHER,1
120,3B,O,OTHER,1
121,4E,O,HANDS,1
122,6J,I,OTHER,1
123,4E,O,HANDS,1
124,6D,O,OTHER,1
125,6G,I,OTHER,1
126,7A,O,OTHER,1
127,6D,O,OTHER,1
128,3NO,I,OTHER,1
129,6C,I,OTHER,1
130,4B,O,KNIFE,1
131,4C,I,OTHER,1
132,6J,I,OTHER,1
133,4C,O,OTHER,1
134,6C,I,OTHER,1
135,4A,O,FIREARM,1
136,4A,O,FIREARM,1
137,6D,O,OTHER,1
138,6D,O,OTHER,1
139,6G,I,OTHER,1
140,4E,I,HANDS,1
141,6D,O,OTHER,1
142,6D,O,OTHER,1
143,6D,O,OTHER,1
144,6D,O,OTHER,1
145,7C,O,OTHER,1
146,4E,I,HANDS,1
147,4C,I,OTHER,1
148,3B,O,OTHER,1
149,7A,O,OTHER,1
150,4E,I,HANDS,1
151,7A,O,OTHER,1
152,6D,O,OTHER,1
153,4E,O,HANDS,1
154,3B,O,OTHER,1
155,6D,O,OTHER,1
156,5D,I,OTHER,1
157,3AF,O,FIREARM,1
158,3AF,O,FIREARM,1
159,3B,O,OTHER,1
160,4E,I,HANDS,1
161,7A,O,OTHER,1
162,6B,O,OTHER,1
163,7A,O,OTHER,1
164,6D,O,OTHER,1
165,5D,I,OTHER,1
166,4E,O,HANDS,1
167,6E,O,OTHER,1
168,4E,O,HANDS,1
169,5A,I,OTHER,1
170,4E,O,HANDS,1
171,4B,O,KNIFE,1
172,4B,I,KNIFE,1
173,4E,O,HANDS,1
174,6J,O,OTHER,1
175,4E,O,HANDS,1
176,4E,I,HANDS,1
177,4F,I,OTHER,1
178,4E,O,HANDS,1
179,6C,I,OTHER,1
180,3B,O,OTHER,1
181,4E,I,HANDS,1
182,4E,O,HANDS,1
183,5D,I,OTHER,1
184,4E,I,HANDS,1
185,4E,I,HANDS,1
186,6D,O,OTHER,1
187,7A,O,OTHER,1
188,4E,I,HANDS,1
189,6D,O,OTHER,1
190,5D,I,OTHER,1
191,5A,I,OTHER,1
192,4C,I,OTHER,1
193,4C,I,OTHER,1
194,6E,O,OTHER,1
195,4E,I,HANDS,1
196,8H,O,OTHER,1
197,4E,O,HANDS,1
198,4E,O,HANDS,1
199,6D,O,OTHER,1
200,4E,I,HANDS,1
201,6D,O,OTHER,1
202,7A,O,OTHER,1
203,6D,O,OTHER,1
204,4A,I,FIREARM,1
