ID,Location,Description,Weapon,Post
1,2700 CHESLEY AVE,I,HANDS,424
2,2700 FAIT AVE,O,KNIFE,232
3,2400 CYLBURN AV,O,FIREARM,532
4,2300 ORLEANS ST,O,FIREARM,221
5,800 N WOLFE ST,I,OTHER,321
6,ST & IMLA ST,O,OTHER,241
7,ST & IMLA ST,O,OTHER,241
8,2400 W BELVEDERE AVE,I,HANDS,532
9,1100 RUSSELL ST,I,OTHER,941
10,ST & N PATTERSON PARK AV,I,HANDS,321
11,200 N LIBERTY ST,O,FIREARM,111
12,600 S ANN ST,I,OTHER,213
13,2600 PENNSYLVANIA AVE,I,HANDS,733
14,2300 DENISON ST,O,FIREARM,812
15,4200 NICHOLAS AV,O,FIREARM,442
16,2500 W BALTIMORE ST,O,HANDS,842
17,700 RAMSAY ST,O,OTHER,931
18,300 S CASTLE ST,I,OTHER,212
19,4000 CEDARDALE RD,O,OTHER,643
20,1300 N CAROLINE ST,O,HANDS,343
21,2400 E FEDERAL ST,I,HANDS,331
22,3500 E BALTIMORE ST,O,OTHER,223
23,3000 RAYNER AVE,I,OTHER,814
24,1000 FELL ST,O,OTHER,213
25,1500 RUSSELL ST,I,OTHER,941
26,RD & GWYNNS FALLS PY,I,OTHER,731
27,1800 ORLEANS ST,I,OTHER,321
28,3200 LABYRINTH RD,I,OTHER,632
29,200 GUILFORD AVE,O,OTHER,111
30,3700 W BELVEDERE AVE,I,OTHER,633
31,6800 FAIRDEL AVE,I,HANDS,424
32,400 FURROW ST,I,OTHER,841
33,5700 CHINQUAPIN PKWY,I,HANDS,522
34,2400 ETTING ST,I,HANDS,733
35,3900 GROVELAND AVE,I,HANDS,621
36,400 W FRANKLIN ST,I,OTHER,111
37,2400 BRIDGEHAMPTON DR,I,OTHER,423
38,800 BENNINGHAUS RD,I,OTHER,523
39,1500 MAY CT,I,HANDS,212
40,600 E 36TH ST,I,OTHER,543
41,900 SAINT PAUL ST,I,OTHER,142
42,1300 E NORTH AVE,I,OTHER,343
43,900 HERNDON CT,I,OTHER,913
44,2600 BOONE ST,I,OTHER,513
45,900 SAINT PAUL ST,I,OTHER,142
46,1100 LIGHT ST,I,OTHER,942
47,3600 PARK HEIGHTS AVE,O,FIREARM,612
48,600 E PRATT ST,I,OTHER,112
49,2800 ELLICOTT DY,O,OTHER,814
50,HEIGHTS AV & W COLD SPRING LN,O,OTHER,614
51,100 HOPKINS PL,I,OTHER,113
52,0 S CHARLES ST,I,OTHER,111
53,1200 W CROSS ST,I,HANDS,932
54,3000 ARUNAH AVE,O,OTHER,814
55,700 POPLAR GROVE ST,O,HANDS,814
56,1000 N CALVERT ST,I,OTHER,141
57,1500 62ND ST,O,OTHER,441
58,700 N BELNORD AVE,I,HANDS,323
59,2600 GROGAN AVE,I,HANDS,332
60,ST & FOLCROFT ST,O,OTHER,241
61,500 GUSRYAN ST,O,OTHER,242
62,4900 FRANKFORD AVE,O,HANDS,444
63,4900 FRANKFORD AVE,O,HANDS,444
64,3300 SAINT AMBROSE AVE,I,HANDS,614
65,NORTH AV & N SMALLWOOD ST,O,OTHER,731
66,2400 N CHARLES ST,O,HANDS,514
67,4800 TRUESDALE AVE,O,OTHER,443
68,800 HOLLINS ST,O,FIREARM,931
69,1100 WASHINGTON BLVD,O,OTHER,932
70,3600 GREENWAY,I,HANDS,512
71,2400 KERMIT CT,I,HANDS,921
72,2400 KERMIT CT,I,HANDS,921
73,600 MAUDE AVE,I,OTHER,913
74,1300 LANCASTER ST,I,OTHER,213
75,1300 N MONTFORD AVE,O,OTHER,331
76,3700 SINCLAIR LN,O,OTHER,433
77,6300 EASTERN AVE,I,OTHER,242
78,2300 DENISON ST,O,FIREARM,812
79,6800 REISTERSTOWN RD,I,OTHER,631
80,4200 NICHOLAS AVE,O,FIREARM,442
81,1200 CHERRY HILL RD,I,OTHER,922
82,3600 MONTEREY RD,I,HANDS,412
83,5400 PARK HEIGHTS AVE,O,OTHER,633
84,2000 N CHESTER ST,O,OTHER,331
85,500 N PAYSON ST,O,OTHER,722
86,1700 WASHINGTON BLVD,O,OTHER,941
87,BL & BELVIEU AV,O,FIREARM,621
88,400 N CHESTER ST,I,HANDS,321
89,0 N SMALLWOOD ST,I,OTHER,714
90,700 SAINT PAUL ST,O,OTHER,142
91,1900 LETITIA AVE,I,HANDS,831
92,200 E 33RD ST,I,HANDS,512
93,400 E PRATT ST,I,KNIFE,112
94,1500 N MONTFORD AVE,O,OTHER,331
95,1600 DIVISION ST,I,OTHER,123
96,600 NOTTINGHAM RD,I,OTHER,822
97,1500 N CALVERT ST,O,OTHER,141
98,2800 THE ALAMEDA,I,OTHER,411
99,3300 W BELVEDERE AVE,I,OTHER,614
100,5100 EDMONDSON AVE,I,OTHER,823
101,200 N CHARLES ST,I,OTHER,111
102,2300 MCCULLOH ST,O,OTHER,733
103,3300 SAINT PAUL ST,I,OTHER,512
104,2200 WALSHIRE AVE,I,OTHER,423
105,4800 PIMLICO RD,I,OTHER,614
106,2900 STRANDEN RD,O,OTHER,923
107,3500 FAIRVIEW AVE,O,OTHER,642
108,3500 BREHMS LN,O,HANDS,432
109,700 POPLAR GROVE ST,I,OTHER,814
110,4800 HAMILTON AVE,O,OTHER,444
111,1800 UNION AVE,O,HANDS,531
112,200 E PRATT ST,O,HANDS,112
113,5700 DENWOOD AVE,O,OTHER,443
114,CALVERT ST & E FEDERAL ST,O,OTHER,141
115,100 S BROADWAY,I,OTHER,212
116,3500 BOSTON ST,I,OTHER,233
117,2400 ASHLAND AVE,O,OTHER,323
118,7200 BROOKCREST WAY,O,OTHER,631
119,2400 BRIARWOOD RD,I,OTHER,533
120,100 S HIGH ST,O,OTHER,211
121,FRANKLINTOWN RD & W BALTIMORE ST,O,HANDS,842
122,2600 SISSON ST,I,OTHER,511
